Alloy,Op Temp,C,N,Cr,Ni,Mn,Si,Cu,Mo,Al,Comments
301-MAX,25,0.15,0.1,18,8,2,0.75,0,0,0,Baseline 301 max bounds
Huang,25,0.02,0.12,17,7,1.2,0.65,0,0,0,AISI 301LN
Narutani,-196,0.12,0,14.17,7.22,1.03,0.47,1.95,0.55,0.017,304 with added Cu
LO2-v01,-207,0.025,0,16.8,8,0.75,0.53,2,0,0,
LO2-v02,-207,0.03,0,16.5,8,0.5,0.53,2.1,0,0,
LO2-v03,-207,0.025,0.025,16.1,8,0.5,0.53,2,0,0,
LO2-v03a,-207,0.025,0.025,16,8,0.5,0.53,2.1,0,0,CURRENT BEST CANDIDATE
LO2-v04,-207,0.025,0.025,16,7,0,0,2,0,0,"Fixed 0Mn-0Si, proof of concept"
LO2-v05,-207,0.025,0.025,17,7,0.5,0.45,2.1,0,0,"Fixed 17Cr-7Ni, vary Si"
LO2-v06,-207,0.025,0.025,17.2,7,0.5,0.53,2.1,0,0,Same contour as v03a but closer to 17Cr-7Ni
LO2-v07,-207,0.025,0.025,16,7.1,0.2,0.1,2.1,0,0,Fixed 0.2Mn-0.1Si
CH4-v00,-180,0.025,0,18,8,0.75,0.45,1.55,0,0,
CH4-v01,-180,0.03,0,17.2,8,0.5,0.45,2.1,0,0,
CH4-v02,-180,0.025,0.025,16.9,8,0.5,0.53,2,0,0,
CH4-v03,-180,0.025,0.025,16.7,8,0.5,0.45,2,0,0,
CH4-v03a,-180,0.025,0.025,16.6,8,0.5,0.45,2.1,0,0,CURRENT BEST CANDIDATE
CH4-v04,-180,0.025,0.025,16,7.7,0,0,2,0,0,"Fixed 0Mn-0Si, proof of concept"
CH4-v05,-180,0.025,0.025,17,7,0.5,0.03,2.1,0,0,"Fixed 17Cr-7Ni, vary Si"
CH4-v06,-180,0.025,0.025,17.5,7.4,0.5,0.45,2.1,0,0,Same contour as v03a but closer to 17Cr-7Ni
CH4-v07,-180,0.025,0.025,16,7.8,0.2,0.1,2.1,0,0,Fixed 0.2Mn-0.1Si
